SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXECUTABLE,ARG1,ARG2,ARG3,OUTPUT
11180272,qtnh,1,1,UCX,permute,20,0,100,Time per iteration: 60.19 ms
11180273,qtnh,1,2,UCX,permute,21,1,100,Time per iteration: 69.99 ms
11180274,qtnh,1,4,UCX,permute,22,2,100,Time per iteration: 69.48 ms
11180275,qtnh,1,8,UCX,permute,23,3,100,Time per iteration: 80.57 ms
11180276,qtnh,1,16,UCX,permute,24,4,100,Time per iteration: 90.49 ms
11180277,qtnh,1,32,UCX,permute,25,5,100,Time per iteration: 96.23 ms
11180278,qtnh,1,64,UCX,permute,26,6,100,Time per iteration: 112.39 ms
11180279,qtnh,1,128,UCX,permute,27,7,100,Time per iteration: 144.85 ms
11180280,qtnh,2,256,UCX,permute,28,8,100,Time per iteration: 193.08 ms
11180281,qtnh,4,512,UCX,permute,29,9,100,Time per iteration: 215.33 ms
11180282,qtnh,8,1024,UCX,permute,30,10,100,Time per iteration: 238.75 ms
11180317,qtnh,1,1,UCX,permute,22,0,100,Time per iteration: 256.39 ms
11180318,qtnh,1,2,UCX,permute,23,1,100,Time per iteration: 277.92 ms
11180319,qtnh,1,4,UCX,permute,24,2,100,Time per iteration: 282.66 ms
11180320,qtnh,1,8,UCX,permute,25,3,100,Time per iteration: 327.37 ms
11180321,qtnh,1,16,UCX,permute,26,4,100,Time per iteration: 387.05 ms
11180322,qtnh,1,32,UCX,permute,27,5,100,Time per iteration: 415.41 ms
11180323,qtnh,1,64,UCX,permute,28,6,100,Time per iteration: 472.17 ms
11180324,qtnh,1,128,UCX,permute,29,7,100,Time per iteration: 595.17 ms
11180325,qtnh,2,256,UCX,permute,30,8,100,Time per iteration: 824.80 ms
11180326,qtnh,4,512,UCX,permute,31,9,100,Time per iteration: 881.61 ms
11180327,qtnh,8,1024,UCX,permute,32,10,100,Time per iteration: 1002.85 ms
11180367,qtnh,1,1,UCX,permute,24,0,100,Time per iteration: 1039.14 ms
11180368,qtnh,1,2,UCX,permute,25,1,100,Time per iteration: 1112.46 ms
11180369,qtnh,1,4,UCX,permute,26,2,100,Time per iteration: 1178.57 ms
11180370,qtnh,1,8,UCX,permute,27,3,100,Time per iteration: 1404.93 ms
11180371,qtnh,1,16,UCX,permute,28,4,100,Time per iteration: 1531.92 ms
11180372,qtnh,1,32,UCX,permute,29,5,100,Time per iteration: 1586.06 ms
11180373,qtnh,1,64,UCX,permute,30,6,100,Time per iteration: 1908.93 ms
11180374,qtnh,1,128,UCX,permute,31,7,100,Time per iteration: 2339.57 ms
11180375,qtnh,2,256,UCX,permute,32,8,100,Time per iteration: 3360.11 ms
11180376,qtnh,4,512,UCX,permute,33,9,100,Time per iteration: 3551.22 ms
11180377,qtnh,8,1024,UCX,permute,34,10,100,Time per iteration: 3906.69 ms
11180517,qtnh,1,1,OFI,permute,24,0,100,Time per iteration: 1157.51 ms
