SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXPERIMENT,EXECUTABLE,ARG1,ARG2,ARG3,ARG4,ARG5,OUTPUT
9402009,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,0,"Results 16:
|T| = (1,-4.93038e-32)
T[0] = (9.53674e-07,6.46195e-22)
Max chis = (1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)
Max chi = 1
Time taken: 136702 ms"
9402010,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,1,"Results 16:
|T| = (1,-1.38778e-16)
T[0] = (1.39126e-10,1.78008e-10)
Max chis = (2, 4, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 4, 2)
Max chi = 10
Time taken: 191888 ms"
9402011,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,2,"Results 16:
|T| = (1,2.77556e-17)
T[0] = (-8.43808e-08,-4.71588e-08)
Max chis = (2, 4, 8, 16, 18, 19, 19, 19, 19, 19, 19, 18, 19, 19, 19, 18, 19, 19, 19, 19, 19, 18, 18, 19, 18, 19, 18, 18, 19, 19, 19, 18, 18, 18, 18, 16, 8, 4, 2)
Max chi = 19
Time taken: 196245 ms"
9402012,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,3,"Results 16:
|T| = (1,-1.38778e-17)
T[0] = (6.72885e-10,7.40117e-08)
Max chis = (2, 4, 8, 16, 25, 27, 27, 27, 27, 27, 27, 27, 28, 28, 27, 28, 27, 27, 28, 28, 27, 27, 28, 28, 28, 28, 28, 28, 28, 27, 26, 27, 27, 27, 27, 16, 8, 4, 2)
Max chi = 28
Time taken: 196330 ms"
9402013,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,4,"Results 16:
|T| = (1,-2.42861e-17)
T[0] = (-2.81249e-08,-6.0857e-08)
Max chis = (2, 4, 8, 16, 32, 35, 36, 36, 36, 36, 36, 35, 36, 35, 36, 35, 36, 36, 36, 36, 36, 35, 35, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 32, 16, 8, 4, 2)
Max chi = 36
Time taken: 197659 ms"
9402014,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,5,"Results 16:
|T| = (1,-2.08167e-17)
T[0] = (7.54178e-08,2.4584e-08)
Max chis = (2, 4, 8, 16, 32, 43, 44, 44, 45, 44, 44, 44, 45, 45, 44, 45, 44, 44, 44, 44, 44, 45, 44, 44, 45, 44, 45, 45, 45, 44, 44, 44, 44, 43, 32, 16, 8, 4, 2)
Max chi = 45
Time taken: 196046 ms"
9402015,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,6,"Results 16:
|T| = (1,1.249e-16)
T[0] = (-1.34981e-08,-1.43502e-08)
Max chis = (2, 4, 8, 16, 32, 50, 53, 53, 52, 53, 52, 52, 53, 54, 53, 52, 53, 53, 53, 53, 53, 53, 54, 53, 53, 53, 53, 53, 53, 54, 53, 53, 52, 51, 32, 16, 8, 4, 2)
Max chi = 54
Time taken: 190885 ms"
9402016,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,7,"Results 16:
|T| = (1,1.28586e-16)
T[0] = (2.30072e-07,-7.39589e-07)
Max chis = (2, 4, 8, 16, 32, 57, 61, 62, 62, 62, 61, 62, 61, 62, 61, 62, 61, 61, 62, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 57, 32, 16, 8, 4, 2)
Max chi = 62
Time taken: 193263 ms"
9402017,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,8,"Results 16:
|T| = (1,2.77556e-17)
T[0] = (2.06927e-07,-1.05149e-07)
Max chis = (2, 4, 8, 16, 32, 62, 69, 70, 70, 70, 70, 70, 70, 71, 71, 70, 71, 71, 71, 71, 70, 71, 71, 71, 71, 71, 71, 71, 70, 70, 70, 69, 69, 63, 32, 16, 8, 4, 2)
Max chi = 71
Time taken: 189085 ms"
9402018,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,9,"Results 16:
|T| = (1,1.11022e-16)
T[0] = (1.16697e-07,-3.86127e-07)
Max chis = (2, 4, 8, 16, 32, 64, 76, 77, 79, 78, 78, 78, 78, 79, 78, 78, 78, 79, 79, 79, 79, 79, 79, 79, 78, 79, 79, 78, 78, 79, 79, 79, 77, 64, 32, 16, 8, 4, 2)
Max chi = 79
Time taken: 188403 ms"
