SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXPERIMENT,EXECUTABLE,ARG1,ARG2,ARG3,ARG4,ARG5,ARG6,OUTPUT
9493612,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,4,4,8,32,32,32,"Results 32:
|T| = (1,4.16334e-17)
T[0] = (-0.00125459,0.000112638)
Max chis = (2, 4, 8, 16, 32, 64, 128, 256, 128, 64, 32, 16, 8, 4, 2)
Max chi = 256
Time taken: 904257 ms"
9493613,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,4,4,8,32,16,16,"Results 16:
|T| = (1,2.77556e-17)
T[0] = (-0.00125459,0.000112638)
Max chis = (2, 4, 8, 16, 32, 64, 128, 256, 128, 64, 32, 16, 8, 4, 2)
Max chi = 256
Time taken: 327678 ms"
9493614,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,4,4,8,32,8,8,"Results 8:
|T| = (0.841989,-1.64822e-17)
T[0] = (0.000938359,-0.000406906)
Max chis = (2, 4, 8, 16, 32, 64, 128, 128, 128, 64, 32, 16, 8, 4, 2)
Max chi = 128
Time taken: 128325 ms"
9493615,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,4,4,8,32,4,4,"Results 4:
|T| = (0.451659,1.53631e-17)
T[0] = (0.00153341,0.000366206)
Max chis = (2, 4, 8, 16, 32, 64, 128, 64, 64, 64, 32, 16, 8, 4, 2)
Max chi = 128
Time taken: 71121 ms"
9493616,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,4,4,8,32,2,2,"Results 2:
|T| = (0.212312,4.08531e-18)
T[0] = (0.000215908,0.000213726)
Max chis = (2, 4, 8, 16, 32, 32, 64, 32, 32, 64, 32, 16, 8, 4, 2)
Max chi = 64
Time taken: 47309 ms"
9493617,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,4,4,8,32,1,1,"Results 1:
|T| = (0.10823,-4.00705e-18)
T[0] = (0.000196184,-0.000546398)
Max chis = (2, 4, 8, 16, 32, 16, 32, 16, 16, 32, 32, 16, 8, 4, 2)
Max chi = 32
Time taken: 38746 ms"
9493618,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,5,5,8,32,32,32,"Results 32:
|T| = (0.205458,-2.1108e-18)
T[0] = (2.39835e-05,2.44983e-05)
Max chis = (2, 4, 8, 16, 32, 64, 128, 256, 512, 512, 512, 1024, 512, 1024, 512, 512, 256, 128, 64, 32, 16, 8, 4, 2)
Max chi = 1024
Time taken: 2313605 ms"
9493619,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,5,5,8,32,16,16,"Results 16:
|T| = (0.122636,3.09427e-18)
T[0] = (7.27296e-06,6.21953e-06)
Max chis = (2, 4, 8, 16, 32, 64, 128, 256, 512, 256, 256, 512, 256, 512, 256, 512, 256, 128, 64, 32, 16, 8, 4, 2)
Max chi = 512
Time taken: 792466 ms"
9493621,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,5,5,8,32,8,8,"Results 8:
|T| = (0.0768007,-1.41171e-18)
T[0] = (1.03932e-05,2.18708e-06)
Max chis = (2, 4, 8, 16, 32, 64, 128, 256, 256, 128, 128, 256, 128, 256, 128, 256, 128, 128, 64, 32, 16, 8, 4, 2)
Max chi = 256
Time taken: 341127 ms"
9493622,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,5,5,8,32,4,4,"Results 4:
|T| = (0.0430919,-3.14503e-19)
T[0] = (1.61216e-06,2.10701e-06)
Max chis = (2, 4, 8, 16, 32, 64, 64, 128, 128, 64, 64, 128, 64, 128, 64, 128, 64, 128, 64, 32, 16, 8, 4, 2)
Max chi = 128
Time taken: 189804 ms"
9493623,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,5,5,8,32,2,2,"Results 2:
|T| = (0.0261844,-1.03516e-18)
T[0] = (-1.23386e-06,1.8534e-07)
Max chis = (2, 4, 8, 16, 32, 64, 32, 64, 64, 32, 32, 64, 32, 64, 32, 64, 32, 64, 64, 32, 16, 8, 4, 2)
Max chi = 64
Time taken: 114938 ms"
9493625,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,5,5,8,32,1,1,"Results 1:
|T| = (0.0151327,-2.23895e-19)
T[0] = (-2.53036e-06,3.83347e-06)
Max chis = (2, 4, 8, 16, 16, 32, 16, 32, 32, 16, 16, 32, 16, 32, 16, 32, 16, 32, 32, 16, 16, 8, 4, 2)
Max chi = 32
Time taken: 91422 ms"
9493626,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,6,6,8,32,32,32,"Results 32:
|T| = (0.0189838,1.07085e-18)
T[0] = (2.18468e-08,8.42776e-08)
Max chis = (2, 4, 8, 16, 32, 64, 128, 256, 512, 512, 1024, 512, 512, 1024, 512, 1024, 1024, 512, 1024, 512, 1024, 512, 1024, 512, 512, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2)
Max chi = 1024
Time taken: 4831151 ms"
9493628,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,6,6,8,32,16,16,"Results 16:
|T| = (0.0106614,-6.35591e-19)
T[0] = (-1.032e-08,5.80934e-08)
Max chis = (2, 4, 8, 16, 32, 64, 128, 256, 512, 256, 512, 256, 256, 512, 256, 512, 512, 256, 512, 256, 512, 256, 512, 256, 256, 512, 256, 256, 128, 64, 32, 16, 8, 4, 2)
Max chi = 512
Time taken: 1687965 ms"
9493630,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,6,6,8,32,8,8,"Results 8:
|T| = (0.00592713,-1.42908e-19)
T[0] = (-5.07684e-09,1.75699e-08)
Max chis = (2, 4, 8, 16, 32, 64, 128, 128, 256, 128, 256, 128, 128, 256, 128, 256, 256, 128, 256, 128, 256, 128, 256, 128, 128, 256, 128, 256, 128, 64, 32, 16, 8, 4, 2)
Max chi = 256
Time taken: 673955 ms"
9493632,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,6,6,8,32,4,4,"Results 4:
|T| = (0.00332542,-1.27357e-19)
T[0] = (-9.4647e-09,5.15846e-09)
Max chis = (2, 4, 8, 16, 32, 64, 128, 64, 128, 64, 128, 64, 64, 128, 64, 128, 128, 64, 128, 64, 128, 64, 128, 64, 64, 128, 64, 128, 128, 64, 32, 16, 8, 4, 2)
Max chi = 128
Time taken: 349760 ms"
9493634,qtnh,8,1024,UCX,ieee25-rcsmps-accscaling,rcsmps,6,6,8,32,2,2,"Results 2:
|T| = (0.00166973,-3.17055e-20)
T[0] = (-2.18208e-09,1.171e-09)
Max chis = (2, 4, 8, 16, 32, 32, 64, 32, 64, 32, 64, 32, 32, 64, 32, 64, 64, 32, 64, 32, 64, 32, 64, 32, 32, 64, 32, 64, 64, 32, 32, 16, 8, 4, 2)
Max chi = 64
Time taken: 265982 ms"
