SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXPERIMENT,EXECUTABLE,ARG1,ARG2,ARG3,ARG4,OUTPUT
11887561,qtnh,2,256,UCX,,riqft,40,1,16,256,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 8732937 ms"
11887562,qtnh,2,256,UCX,,riqft,40,2,16,128,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 7198732 ms"
11887563,qtnh,2,256,UCX,,riqft,40,4,16,64,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 6507745 ms"
11887564,qtnh,2,256,UCX,,riqft,40,8,16,32,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 6433608 ms"
11887565,qtnh,2,256,UCX,,riqft,40,16,16,16,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 6299907 ms"
11887566,qtnh,2,256,UCX,,riqft,40,32,16,8,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 6524483 ms"
11887567,qtnh,2,256,UCX,,riqft,40,64,16,4,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 7120280 ms"
11887568,qtnh,2,256,UCX,,riqft,40,128,16,2,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 8559879 ms"
11887569,qtnh,2,256,UCX,,riqft,40,256,16,1,"|T| = 0.460396
T[0] = (4.60013e-07,3.80487e-07)
Time taken: 11479600 ms"
11887591,qtnh,2,256,UCX,,riqft,40,1,16,128,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1235161 ms"
11887592,qtnh,2,256,UCX,,riqft,40,2,16,64,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1160717 ms"
11887593,qtnh,2,256,UCX,,riqft,40,4,16,32,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1053750 ms"
11887594,qtnh,2,256,UCX,,riqft,40,8,16,16,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1056353 ms"
11887595,qtnh,2,256,UCX,,riqft,40,16,16,8,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1040948 ms"
11887596,qtnh,2,256,UCX,,riqft,40,32,16,4,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1131657 ms"
11887597,qtnh,2,256,UCX,,riqft,40,64,16,2,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1253949 ms"
11887598,qtnh,2,256,UCX,,riqft,40,128,16,1,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1490117 ms"
11887671,qtnh,1,64,UCX,,riqft,40,1,8,256,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 3640299 ms"
11887672,qtnh,1,64,UCX,,riqft,40,2,8,128,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 3025844 ms"
11887673,qtnh,1,64,UCX,,riqft,40,4,8,64,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 2883273 ms"
11887674,qtnh,1,64,UCX,,riqft,40,8,8,32,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 2804206 ms"
11887675,qtnh,1,64,UCX,,riqft,40,16,8,16,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 2756680 ms"
11887676,qtnh,1,64,UCX,,riqft,40,32,8,8,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 2889520 ms"
11887677,qtnh,1,64,UCX,,riqft,40,64,8,4,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 3092241 ms"
11887678,qtnh,1,64,UCX,,riqft,40,128,8,2,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 3495674 ms"
11887679,qtnh,1,64,UCX,,riqft,40,256,8,1,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 4516029 ms"
11887680,qtnh,1,64,UCX,,riqft,40,1,8,128,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 479840 ms"
11887681,qtnh,1,64,UCX,,riqft,40,2,8,64,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 425003 ms"
11887682,qtnh,1,64,UCX,,riqft,40,4,8,32,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 406375 ms"
11887683,qtnh,1,64,UCX,,riqft,40,8,8,16,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 400788 ms"
11887684,qtnh,1,64,UCX,,riqft,40,16,8,8,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 408352 ms"
11887685,qtnh,1,64,UCX,,riqft,40,32,8,4,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 430970 ms"
11887686,qtnh,1,64,UCX,,riqft,40,64,8,2,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 466826 ms"
11887687,qtnh,1,64,UCX,,riqft,40,128,8,1,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 579025 ms"
